text,author,tags
"…the sad part is, that I will probably end up loving you without you for much longer than I loved you when I knew you.Some people might find that strange.But the truth of it is that the amount of love you feel for someone and the impact they have on you as a person, is in no way relative to the amount of time you have known them.",Ranata Suzuki,"['always-yours', 'beautiful', 'beautiful-quote', 'break-up-quote', 'break-ups', 'breakup', 'breakup-quote', 'breakup-quotes', 'broken-heart', 'deep-love', 'deep-love-quotes', 'deep-thoughts', 'feelings', 'feelings-and-emotions', 'feelings-of-love', 'grief', 'grief-and-loss', 'grief-quotes', 'grieving', 'heartbreak', 'heartbreak-quotes', 'heartbroken', 'heartbroken-quotes', 'i-miss-you', 'loss', 'loss-of-love', 'loss-quote', 'loss-quotes', 'lost', 'lost-love', 'lost-love-quotes', 'love', 'love-quotations', 'love-quote', 'love-quotes', 'love-quotes-and-sayings', 'memories', 'memories-quotes', 'memory', 'memory-quote', 'missing-someone', 'missing-you-quotes', 'quote', 'quotes', 'ranata-suzuki', 'ranata-suzuki-quote', 'reminders', 'reminisce', 'reminiscence', 'reminiscing', 'sad', 'sad-quote', 'sad-quotes', 'sadness', 'secret-love', 'the-one-that-got-away', 'the-only-one', 'the-past', 'time', 'time-passing', 'time-quote', 'time-quotes', 'unrequited', 'unrequited-love', 'without-you']"
There is an ocean of silence between us… and I am drowning in it.,Ranata Suzuki,"['beautiful', 'beautiful-quote', 'break-up-quote', 'break-ups', 'breakup', 'breakup-quote', 'breakup-quotes', 'broken-heart', 'deep-thoughts', 'distance', 'distance-relationship', 'feelings', 'feelings-and-emotions', 'feelings-of-love', 'from-a-distance', 'grief', 'grief-and-loss', 'grief-quotes', 'grieving', 'heartbreak', 'heartbreak-quotes', 'heartbroken', 'heartbroken-quotes', 'i-miss-you', 'loss', 'loss-of-love', 'loss-quote', 'loss-quotes', 'lost', 'lost-love', 'lost-love-quotes', 'love-quotations', 'love-quote', 'love-quotes', 'love-quotes-and-sayings', 'missing-someone', 'missing-you-quotes', 'ocean', 'ocean-quotes', 'quote', 'quotes', 'ranata-suzuki', 'ranata-suzuki-quote', 'sad', 'sad-quote', 'sad-quotes', 'sadness', 'silence', 'silence-quote', 'silence-quotes', 'the-one-that-got-away', 'unrequited', 'unrequited-love', 'without-you']"
What is hardest to accept about the passage of time is that the people who once mattered the most to us wind up in parentheses.,The Cider House Rules,"['living', 'sad']"
"You asked why I couldn't forgive you,"" Nick said, very quietly, and I jumped a little. ""It was because you were the love of my life, Harper. And you didn't want to be. That's hard to let go.",My One and Only,"['breakup', 'couples', 'divorce', 'love', 'sad']"
"Thank you,"" he finally said. He couldn't say he meant thanks for all of it: the keys, the trust, the honesty and the kisses. Hopefully Andrew would figure it out eventually. ""You were amazing.",The King's Men,"['goodbye', 'sad']"
"A void in my chest was beginning to fill with anger. Quiet, defeated anger that guaranteed me the right to my hurt, that believed no one could possibly understand that hurt.",House Rules,"['anger', 'hurt', 'pain', 'sad', 'sadness', 'void']"
"I should be happy, but instead I feel nothing. I feel a lot of nothing these days. I've cried a few times, but mostly I'm empty, as if whatever makes me feel and hurt and laugh and love has been surgically removed, leaving me hollowed out like a shell.",All the Bright Places,"['alone', 'empty', 'emptyness', 'life', 'sad', 'tired']"
"He'd known, since the moment he figured out who she was, that while Celaena would always pick him, Aelin would not.",Heir of Fire,"['chaol-westfall', 'heartbreak', 'sad']"
"I'm guilty of giving people more chances than they deserve but when I'm done, I'm done.",Turcois Ominek,"['chances', 'deserve', 'done', 'ending', 'guilty', 'leaving', 'letting-go', 'love', 'over', 'sad', 'truth']"
"The silence isn't so bad, till I look at my hands and feel sad. Because the spaces between my fingers are right where yours fit perfectly.",Ocean Eyes [Deluxe Edition],"['missing-you', 'sad']"
"Rejection, though--it could make the loss of someone you weren't even that crazy about feel gut wrenching and world ending.",The Secret Life of Prince Charming,"['crazy', 'feel', 'loss', 'pain', 'rejection', 'sad']"
Thought I couldn't live without youIt's gonna hurt when it heals tooEven though I really love youI'm gonna smile cause I deserve toQuickly I'm learning to love againAll I know is I'mma be ok,Leona Lewis,"['breakup', 'couples', 'heartbreak', 'love', 'relationships', 'sad']"
